Internship Title,Company Name,Location,Start Date,Duration,Stipend,Apply By,Skills Required,Perks
Business Development (Sales),Gurgaon Citi,Gurgaon,Starts immediatelyImmediately,3 Months,"₹ 9,000 - 20,000 /month",3 May' 25,"Digital Marketing, Effective Communication, Email Marketing, English Proficiency (Spoken), MS-Excel, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Job offer",N/A
Customer Engagement,Advansure Tech Private Limited (EduFin),Chennai,Starts immediatelyImmediately,3 Months,"₹ 4,000 - 5,000 /month",3 May' 25,"Analytical Thinking, Effective Communication, Interpersonal skills, Presentation skills, Problem Solving, Time Management, Certificate",N/A
Fashion Design,Nimisha Singhal,Delhi,Starts immediatelyImmediately,2 Months,"₹ 6,000 - 8,000 /month",3 May' 25,"Adobe Illustrator, Adobe Photoshop, Fashion Designing, Certificate, Letter of recommendation",N/A
Email Marketing,QualiKet Research,Work from home,Starts immediatelyImmediately,3 Months,"₹ 8,000 /month",3 May' 25,"Microsoft 365, MS-Excel, Certificate, Letter of recommendation, 5 days a week",N/A
Social Media Marketing,Myoho Essence,Delhi,Starts immediatelyImmediately,2 Months,"₹ 5,000 - 6,000 /month",3 May' 25,"Digital Marketing, Facebook Ads, Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Video Editing, Videography, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",N/A
Digital Marketing,Liradolf Information Technologies And Engineering Services,Bengaluru,Starts immediatelyImmediately,6 Months,"₹ 20,000 - 20,001 /month",3 May' 25,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Written), Search Engine Optimization (SEO), Social Media Marketing, Certificate, Letter of recommendation, Job offer",N/A
UI/UX Design,IDZ Digital Private Limited,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 8,000 - 10,000 /month",3 May' 25,"Figma, UI & UX Design, User Interface (UI) Development, UX Research, Certificate, Informal dress code, 5 days a week",N/A
Social Media Manager,The Virtual CTO,Work from home,Starts immediatelyImmediately,2 Months,"₹ 1,000 - 1,100 /month",3 May' 25,"Canva, ChatGPT, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours",N/A
Digital Marketing,QuikESG,Work from home,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 10,000 /month",3 May' 25,"Digital Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Business Development (Sales),UPVIC Technologies Private Limited (TaxWisey),"Gurgaon, Faridabad, Delhi",Starts immediatelyImmediately,6 Months,"₹ 10,000 - 15,000 /month",3 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Certificate, Letter of recommendation, Job offer",N/A
Video Editing/Making,Piama Media Labs,Bengaluru                                                    (Hybrid),Starts immediatelyImmediately,3 Months,"₹ 5,000 /month",3 May' 25,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making, Certificate, Flexible work hours, 5 days a week, Free snacks & beverages",N/A
Business Development (Sales),Global Quest,Sonipat,Starts immediatelyImmediately,4 Months,"₹ 8,001 - 75,000 /month",3 May' 25,"English Proficiency (Spoken), Social Media Marketing",N/A
Business Development (Sales),VerveTech Consultancy,Varanasi,Starts immediatelyImmediately,6 Months,"₹ 5,000 /month",3 May' 25,"B2B Sales, English Proficiency (Spoken), Certificate, Free snacks & beverages, Job offer",N/A
Digital Marketing,Alden Global Value Advisors,Gurgaon,Starts immediatelyImmediately,3 Months,"₹ 15,000 - 25,000 /month",7 May' 25,"English Proficiency (Spoken), Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",N/A
Video Editing/Making,Techiegigs,Delhi,Starts immediatelyImmediately,3 Months,"₹ 5,000 /month",3 May' 25,"Video Editing, Certificate, Letter of recommendation, Informal dress code",N/A
Business Development (Sales),VAYUZ TECHNOLOGIES PRIVATE LIMITED,Noida,Starts immediatelyImmediately,6 Months,"₹ 18,000 - 30,000 /month",3 May' 25,"Cold Calling, Decision making, Problem Solving, Sales, Certificate, Informal dress code, 5 days a week, Job offer",N/A
Company Secretary (CS),BeamCrew,"Delhi, Hyderabad, Chennai, Mumbai",Starts immediatelyImmediately,6 Months,"₹ 8,000 - 10,000 /month",3 May' 25,"Accounting, Company Law, English Proficiency (Spoken), English Proficiency (Written), Management, MS-Office, MS-Word, Report Generation, Statutory compliances, Certificate, Letter of recommendation, Free snacks & beverages, Job offer",N/A
Business Development (Sales),GeniuxTech Solutions,Work from home,Starts immediatelyImmediately,6 Months,"₹ 5,000 - 10,000 /month",3 May' 25,"English Proficiency (Spoken), Lead Generation, Social Media Marketing, Certificate, Flexible work hours, 5 days a week",N/A
Digital Marketing,Bhavyam Properties,Work from home,Starts immediatelyImmediately,6 Months,"₹ 1,010 - 5,100 /month",3 May' 25,"Adobe Photoshop, Canva, Digital Design, Graphic Design, Social Media Marketing, Video Editing, Certificate, Letter of recommendation, Flexible work hours, Job offer",N/A
Fashion Marketing,Safeera,Delhi,Starts immediatelyImmediately,1 Month,"₹ 5,000 - 7,000 /month",28 Apr' 25,"Adobe Photoshop, Effective Communication, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages",N/A
Content Development (English),TGC Technologies Private Limited,Pune                                                    (Hybrid),Starts immediatelyImmediately,3 Months,"₹ 6,000 - 7,000 /month",3 May' 25,"Creative Writing, English Proficiency (Spoken), English Proficiency (Written), MS-PowerPoint, Certificate, Letter of recommendation",N/A
Business Development (Sales),SafetyConnect,Work from home,Starts immediatelyImmediately,3 Months,"₹ 5,000 /month",3 May' 25,"Effective Communication, English Proficiency (Spoken), MS-Excel, Sales, 5 days a week",N/A
Business Development (Sales),Go Ahead Consultant,Work from home,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 15,000 /month",3 May' 25,"Cold Calling, Email Marketing, English Proficiency (Spoken), MS-Excel, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Business Development (Sales),D ADVAYA FM PRIVATE LIMITED,Hyderabad,Starts immediatelyImmediately,6 Months,"₹ 8,000 - 12,000 /month",3 May' 25,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Social Media Marketing, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Free snacks & beverages, Job offer",N/A
Social Media Marketing,godigitali,Delhi,Starts immediatelyImmediately,3 Months,"₹ 2,000 - 5,000 /month",3 May' 25,"Canva, Creative Writing, Social Media Marketing, Certificate, Letter of recommendation",N/A
Tech Implementation/Tech Support,Stockarea,Work from home,Starts immediatelyImmediately,3 Months,"₹ 20,000 - 25,000 /month",3 May' 25,"Client Interaction, Client Relationship, Effective Communication, MS-Excel, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer",N/A
Human Resources (HR),Kores (India) Limited,Navi Mumbai,Starts immediatelyImmediately,6 Months,"₹ 7,000 - 9,000 /month",3 May' 25,"Administrative Support, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Recruitment, Certificate",N/A
Social Media Marketing,Li-Ning Studio,Bangalore,Starts immediatelyImmediately,2 Months,"₹ 9,000 - 10,000 /month",3 May' 25,"Creative Writing, Digital Marketing, English Proficiency (Spoken), Social Media Marketing, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages",N/A
Content Writing,Clinkerbell,Hyderabad,Starts immediatelyImmediately,3 Months,"₹ 10,000 /month",3 May' 25,"Analytical Thinking, Blogging, Creative Writing, Digital Marketing, English Proficiency (Written), Script Writing, Certificate",N/A
Video Editing/Making,Prasam Crafts,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 5,000 - 15,000 /month",3 May' 25,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making, Certificate, Letter of recommendation, Informal dress code, Job offer",N/A
Teaching Assistant (Data Science),Internshala,Work from home,Starts immediatelyImmediately,6 Months,"₹ 14,445 /month",28 Apr' 25,"Data Science, MS-Excel, MySQL, Power BI, Python, Certificate, 5 days a week",N/A
Content Writing,7 Virtual Assistant Services,Work from home,Starts immediatelyImmediately,3 Months,"₹ 7,000 /month",3 May' 25,"Blogging, Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Search Engine Optimization (SEO), Social Media Marketing, Certificate, Letter of recommendation, 5 days a week",N/A
Graphic Design,DigiOn,Work from home,Starts immediatelyImmediately,6 Months,"₹ 6,000 - 12,000 /month",3 May' 25,"Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Premiere Pro, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Telecalling,7 Virtual Assistant Services,Chennai,Starts immediatelyImmediately,2 Months,"₹ 7,000 /month",3 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Certificate, Letter of recommendation, Informal dress code, 5 days a week",N/A
Customer Service/Customer Support,Eraya Style,Patna,Starts immediatelyImmediately,1 Month,"₹ 10,001 - 12,002 /month",3 May' 25,"Data entry, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Certificate, Letter of recommendation, Flexible work hours",N/A
Social Media Marketing,Khudarpan Foundation                                  NGO,Work from home,Starts immediatelyImmediately,3 Months,Unpaid,3 May' 25,"Adobe Photoshop, Canva, Content Editing, English Proficiency (Written), Instagram Marketing, Social Media Marketing, Video Editing, Certificate, Flexible work hours",N/A
IT Staffing Sales,Bluvin Solutions,Work from home,Starts immediatelyImmediately,6 Months,"₹ 3,000 - 5,000 /month",3 May' 25,"Business Analysis, Client Relationship Management (CRM), Cold Calling, Effective Communication, Interpersonal skills, Negotiation, Networking, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Search Engine Optimization (SEO),7 Virtual Assistant Services,Chennai,Starts immediatelyImmediately,2 Months,"₹ 8,000 /month",3 May' 25,"Digital Marketing, English Proficiency (Written), Google AdWords, Google Analytics, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Certificate, Letter of recommendation, Informal dress code, 5 days a week",N/A
Sales,Value4Media,Noida,Starts immediatelyImmediately,6 Months,"₹ 10,000 /month",3 May' 25,"Marketing, MS-Excel, MS-Word, Sales, Certificate, Letter of recommendation, Informal dress code, 5 days a week",N/A
PHP Development,Jorim Technology Solutions Private Limited,Chennai                                                    (Hybrid),Starts immediatelyImmediately,6 Months,"₹ 8,000 - 10,000 /month",3 May' 25,"MySQL, PHP, Certificate, Letter of recommendation",N/A
Business Development,MTHK Gifts LLP,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 8,000 - 12,000 /month",3 May' 25,"Business Development, Client Interaction, Effective Communication, Marketing, MS-Excel, Presentation skills, Sales, Social Media Marketing, Letter of recommendation, Informal dress code, 5 days a week",N/A
Full Stack Development,"CasePilot (San Pedro, Philippines)",Work from home,Starts immediatelyImmediately,6 Months,"₹ 20,000 - 90,000 /month",3 May' 25,"JavaScript, MongoDB, MySQL, Node.js, PHP, React",N/A
Business Development (Sales),Acural Solutions Private Limited,Noida,Starts immediatelyImmediately,6 Months,"₹ 12,000 - 17,000 /month",3 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Negotiation, Social Media Marketing, Certificate, Letter of recommendation",N/A
Accountant (Testing Accounting Software),Meru Technosoft Private Limited,Work from home,Starts immediatelyImmediately,3 Months,"₹ 2,800 - 6,000 /month",3 May' 25,"Accounting, GST, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Graphic Design,Capes India,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 7,000 /month",3 May' 25,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Certificate, 5 days a week",N/A
Full Stack Development,Clinix Sphere,Work from home,Starts immediatelyImmediately,6 Months,"₹ 1,500 - 2,000 /month",24 May' 25,"Bootstrap, CSS, HTML, JavaScript, jQuery, MongoDB, MySQL, Node.js, Postman, React, Certificate, Letter of recommendation, Flexible work hours",N/A
Dental Assistant And Receptionist,Bhatia Dentopulse,Delhi,Starts immediatelyImmediately,3 Months,"₹ 8,000 - 10,000 /month",3 May' 25,"Data entry, Effective Communication, Informal dress code",N/A
Content Writing,TechCurators,Delhi,Starts immediatelyImmediately,6 Months,"₹ 8,000 - 10,000 /month",3 May' 25,"Blogging, Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Search Engine Optimization (SEO), Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Job offer",N/A
Software Testing Instructor,Tutedude,Work from home,Starts immediatelyImmediately,1 Month,"₹ 25,000 /month",3 May' 25,"APIs, Debugging, Software Development Life Cycle (SDLC), Software Testing, Test Automation, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Marketing,Nextrillion Tech,Work from home,Starts immediatelyImmediately,3 Months,"₹ 1,000 /month",3 May' 25,"Content Writing, Digital Marketing, Email Marketing, Graphic Design, Marketing, Marketing Automation, Marketing Campaigns, Marketing Strategy, Search Engine Optimization (SEO), Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
AI & Machine Learning Instructor,GEMA Education Technology Private Limited,Work from home,Starts immediatelyImmediately,3 Months,"₹ 2,000 /month",3 May' 25,"Artificial intelligence, Machine Learning, Certificate, Letter of recommendation, Flexible work hours",N/A
Web Development Instructor,GEMA Education Technology Private Limited,Work from home,Starts immediatelyImmediately,3 Months,"₹ 2,000 /month",3 May' 25,"CSS, HTML, JavaScript, Web development, Certificate, Letter of recommendation, Flexible work hours",N/A
Python Coding Instructor,GEMA Education Technology Private Limited,Work from home,Starts immediatelyImmediately,4 Months,"₹ 2,000 /month",3 May' 25,"Python, Certificate, Letter of recommendation, Flexible work hours",N/A
Online Marketing,The Anfinite,Dehradun                                                    (Hybrid),Starts immediatelyImmediately,1 Month,"₹ 2,000 - 4,000 /month",3 May' 25,"Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Certificate, Flexible work hours, Informal dress code",N/A
Video Editing & Graphic Designing,DK Realtors And Interiors,"Faridabad, Delhi, Gurgaon, Noida",Starts immediatelyImmediately,3 Months,"₹ 5,000 - 10,000 /month",3 May' 25,"Graphic Design, Motion Graphics, Photography, Video Editing, Video Making, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Job offer",N/A
Business Development (Sales),LiveSwitch India Private Limited,Bengaluru,Starts immediatelyImmediately,3 Months,"₹ 15,000 /month",3 May' 25,"Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Scratch Programming (Teaching),GEMA Education Technology Private Limited,Work from home,Starts immediatelyImmediately,3 Months,"₹ 2,000 /month",3 May' 25,"C Programming, Certificate, Letter of recommendation, Flexible work hours",N/A
UAV Flight Testing,Inferigence Quotient Private Limited,"Bengaluru, Bangalore",Starts immediatelyImmediately,3 Months,"₹ 10,000 - 12,000 /month",3 May' 25,"Mechanical & Electrical Product Design, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages",N/A
Cinematographer & Editor (Podcast),Quillcraft Contents Pvt Ltd,Bangalore                                                    (Hybrid),Starts immediatelyImmediately,3 Months,"₹ 15,000 - 20,000 /month",3 May' 25,"Adobe Premiere Pro, DaVinci Resolve, Final Cut Pro, Certificate, Letter of recommendation",N/A
Marketing,Edumate,Kolkata                                                    (Hybrid),Starts immediatelyImmediately,2 Months,"₹ 5,000 - 7,000 /month",3 May' 25,"Canva, Effective Communication, English Proficiency (Written), Marketing, Research and Analytics, Time Management, Certificate, Letter of recommendation, Flexible work hours",N/A
Copywriting,Heal Easy,Work from home,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 20,000 /month",3 May' 25,"Content Writing, Copywriting, Creative Writing, Facebook Ads, Script Writing, Storytelling, Visual Storytelling, YouTube Ads, Certificate, Letter of recommendation",N/A
Corporate Sales,Kabeer Enrerprises,"Delhi, Gurgaon, Noida                                                    (Hybrid)",Starts immediatelyImmediately,6 Months,"₹ 2,000 - 2,001 /month",3 May' 25,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Certificate, Flexible work hours, Informal dress code, 5 days a week, Job offer",N/A
Insurance Specialist,Life Insurance Corporation Of India,Ahmedabad                                                    (Hybrid),Starts immediatelyImmediately,1 Month,"₹ 9,000 - 30,000 /month",3 May' 25,"Client Relationship, Marketing, Public Relations, Sales, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",N/A
Graphic Design,Brevity Incorporated,Work from home,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 12,000 /month",3 May' 25,"Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Articulate 360, Articulate Storyline, UI & UX Design, Certificate, Letter of recommendation",N/A
Graphic Design,HostingSpell,Work from home,Starts immediatelyImmediately,3 Months,"₹ 3,000 - 7,000 /month",3 May' 25,"Adobe Illustrator, Adobe Photoshop, Adobe Photoshop Lightroom CC, Canva, CorelDRAW, Design Thinking, Certificate, Letter of recommendation, Flexible work hours",N/A
Sales & Content Writing,Digital Health News,Noida                                                    (Hybrid),Starts immediatelyImmediately,3 Months,"₹ 10,000 - 15,000 /month",3 May' 25,"Content Editing, Content Writing, English Proficiency (Spoken), English Proficiency (Written), Sales, Job offer",N/A
Graphic Design,Icons Behind Brands,Bengaluru,Starts immediatelyImmediately,6 Months,"₹ 4,000 - 5,000 /month",3 May' 25,"Adobe After Effects, Adobe Photoshop, CorelDRAW, Video Editing, Certificate, Letter of recommendation, Job offer",N/A
Videography,ANSR Global Private Limited,Bengaluru                                                    (Hybrid),Starts immediatelyImmediately,6 Months,"₹ 30,000 /month",3 May' 25,"Photography, Videography, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages",N/A
Human Resources (HR),HR Mind,Delhi,Starts immediatelyImmediately,6 Months,"₹ 8,000 - 12,000 /month",3 May' 25,"Recruitment, Talent Management, Certificate, Letter of recommendation",N/A
Inside Sales,Umoja Marketplace,Bengaluru,Starts immediatelyImmediately,3 Months,"₹ 8,000 - 10,000 /month",3 May' 25,"English Proficiency (Spoken), Certificate, Letter of recommendation, Informal dress code, 5 days a week",N/A
WordPress Development,Solvitude,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,000 - 3,000 /month",3 May' 25,"Creative Writing, CSS, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), HTML, UI & UX Design, WordPress, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Web Development,Capes India,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 5,000 /month",3 May' 25,"APIs, Artificial intelligence, CSS, HTML, JavaScript, Shopify, Web development, Certificate, 5 days a week",N/A
Equity Analytics,Tharuna Solutions,"Hyderabad, Noida",Starts immediatelyImmediately,6 Months,"₹ 13,000 - 25,000 /month",3 May' 25,"Financial Analysis, Stock Trading",N/A
Marketing,Travel-FSU,Bengaluru,Starts immediatelyImmediately,3 Months,"₹ 10,000 - 12,000 /month",3 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Certificate, Letter of recommendation",N/A
Business Development (Sales),PLUSNET COMUNICATION PVT LTD,Ahmedabad,Starts immediatelyImmediately,3 Months,"₹ 8,000 - 15,000 /month",3 May' 25,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Negotiation, Certificate, Letter of recommendation, Job offer",N/A
Website Management,Capes India,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 5,000 /month",3 May' 25,"Product Management, Search Engine Optimization (SEO), Shopify, Web Design, Web development, Certificate, 5 days a week",N/A
Lead Generation,Grabitts Softech Services Pvt.Ltd.,Work from home,Starts immediatelyImmediately,3 Months,"₹ 3,000 - 5,000 /month",3 May' 25,"Email Marketing, Lead Generation, Certificate, Letter of recommendation, Flexible work hours",N/A
Performance Marketing,Capes India,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 5,000 /month",3 May' 25,"Data Visualization, Digital Marketing, Facebook Ads, Google AdWords, Google Analytics, MS-Excel, Problem Solving, Certificate, 5 days a week",N/A
Social Media Manager,Bussin Social,Work from home,Starts immediatelyImmediately,2 Months,"₹ 2,000 - 2,001 /month",3 May' 25,"Audio Editing, Video Editing, Video Making, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Editing,Sri Navanaarasimha Nithya Annadhana Trust,Work from home,Starts immediatelyImmediately,1 Month,"₹ 7,000 - 8,000 /month",3 May' 25,"Instagram Marketing, Search Engine Optimization (SEO), Letter of recommendation, Flexible work hours, 5 days a week",N/A
Business Development (Sales),Akestech Infotech,Work from home,Starts immediatelyImmediately,3 Months,"₹ 8,000 - 15,000 /month",3 May' 25,"English Proficiency (Spoken), MS-Excel, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer",N/A
Social Media Marketing,Capes India,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 5,000 /month",3 May' 25,"Canva, Content Editing, Content Management, Instagram Marketing, Video Editing, Certificate, 5 days a week",N/A
Video Editing/Making,Brothers Productions,Gwalior,Starts immediatelyImmediately,6 Months,"₹ 2,000 - 5,000 /month",3 May' 25,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages, Job offer",N/A
Sales,OnePixll,Work from home,Starts immediatelyImmediately,3 Months,"₹ 10,000 - 10,001 /month",3 May' 25,"Sales, Sales Management, Sales Strategy, Sales Support, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Event Management,Innovation99,Bengaluru,Starts immediatelyImmediately,3 Months,"₹ 15,000 /month",3 May' 25,"Effective Communication, English Proficiency (Spoken), Event Management, MS-Office, MS-PowerPoint, Networking, Teamwork",N/A
Administration,Nandivardhan (Mathuresh Infrapro Private Limited),Mumbai,Starts immediatelyImmediately,6 Months,"₹ 8,000 - 14,000 /month",3 May' 25,"Administrative Support, Contract Management, English Proficiency (Spoken), MS-Excel, MS-Office, MS-Word, Office Management, Vendor Management, Certificate, Letter of recommendation, Informal dress code, Job offer",N/A
Human Resources (HR),The Trade Bond,Indore,Starts immediatelyImmediately,6 Months,"₹ 5,000 /month",3 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-Word, Certificate, Letter of recommendation",N/A
Mobile App Testing,PRAM,Work from home,Starts immediatelyImmediately,6 Months,"₹ 5,001 - 5,003 /month",24 May' 25,"Manual Testing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer",N/A
Software Development,Factifi,Work from home,Starts immediatelyImmediately,3 Months,"₹ 1,000 - 20,000 /month",24 May' 25,"Amazon EC2, Amazon S3, Artificial intelligence, Data Analytics, Data Science, Elasticsearch, Flask, JavaScript, Machine Learning, Natural Language Processing (NLP), Python, React, Web development, Letter of recommendation, Flexible work hours",N/A
Marketing,Pratiti,Pune,Starts immediatelyImmediately,3 Months,"₹ 5,000 /month",3 May' 25,"Data Analysis, MS-Excel, Research and Analytics, Certificate, Flexible work hours, 5 days a week",N/A
Product Management,Sipora Beverages Pvt Ltd,Delhi,Starts immediatelyImmediately,3 Months,"₹ 2,501 - 5,002 /month",3 May' 25,"Product Lifecycle Management(PLM), Product Management, Vendor Management, Vendor Negotiation, Letter of recommendation, Free snacks & beverages, Job offer",N/A
Graphic Design,Stick Store,Work from home,Starts immediatelyImmediately,6 Months,"₹ 1,000 - 2,000 /month",3 May' 25,"Adobe Illustrator, Adobe Photoshop, Adobe Photoshop Lightroom CC, Canva, Video Editing, Certificate, Letter of recommendation, Flexible work hours",N/A
Drafting And Client Relationship Management (CRM),RR Associates,Nagpur,Starts immediatelyImmediately,6 Months,"₹ 4,000 - 8,000 /month",3 May' 25,"Effective Communication, Legal Drafting, MS-Office, Time Management, Certificate, Letter of recommendation",N/A
Marketing (Late Night Shift),Pujitha Prathipati,Work from home,Starts immediatelyImmediately,6 Months,"₹ 4,000 - 5,000 /month",3 May' 25,"Canva, Content Editing, Content Writing, Microsoft 365, MS-Excel, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Marketing,Trustedge Business Research,Work from home,Starts immediatelyImmediately,3 Months,"₹ 2,000 - 8,000 /month",3 May' 25,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Search Engine Optimization (SEO), Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer",N/A
ReactJS Development,Syncliner Software Platforms Pvt. Ltd.,Work from home,Starts immediatelyImmediately,4 Months,"₹ 3,000 - 5,000 /month",9 May' 25,"Git, GitHub, HTML, JavaScript, React, React Router, Redux, Tailwind CSS, TypeScript, Certificate, Flexible work hours, 5 days a week",N/A
Data Entry,OBLYTECH INDIA PRIVATE LIMITED,Work from home,Starts immediatelyImmediately,6 Months,"₹ 5,000 /month",3 May' 25,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Certificate, Letter of recommendation",N/A
Data Analytics,Indus Webpro,Work from home,Starts immediatelyImmediately,6 Months,"₹ 12,000 - 30,000 /month",3 May' 25,"Data Analytics, Data Science, MS-Excel, VBA",N/A
Video Editing/Making,Digital Guruji,Work from home,Starts immediatelyImmediately,4 Months,"₹ 10,000 /month",29 Apr' 25,"English Proficiency (Written), Certificate, Letter of recommendation, Flexible work hours",N/A
Content Writing,Meroy Inc.,Delhi,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 10,000 /month",3 May' 25,"Content Writing, Creative Writing, English Proficiency (Written), Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages, Job offer",N/A
Social Media Marketing,Kajkarma,Work from home,Starts immediatelyImmediately,6 Months,"₹ 1,000 /month",4 May' 25,"Content Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Search Engine Optimization (SEO), Certificate, Letter of recommendation, Job offer",N/A
Outreach Team,GigFloww,Work from home,Starts immediatelyImmediately,2 Months,"₹ 1,000 /month",3 May' 25,"Cold Calling, Data Extraction, Email Marketing, Lead Generation, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
UI/UX Design,GigFloww,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,000 /month",3 May' 25,"Figma, UI & UX Design, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Video Editing/Making,NextEdge Labs,"Thane, Navi Mumbai, Mumbai",Starts immediatelyImmediately,6 Months,"₹ 5,000 /month",3 May' 25,"Adobe After Effects, Adobe Premiere Pro, Video Editing, Video Making, Certificate, Letter of recommendation",N/A
Accounting & Taxation,Compliance Proxy,Allahabad,Starts immediatelyImmediately,3 Months,"₹ 4,000 - 6,000 /month",3 May' 25,"Accounting, MS-Excel, MS-Word, Tally, Certificate, Letter of recommendation, Free snacks & beverages",N/A
Digital Marketing,Psytech Digi Private Limited,Pune,Starts immediatelyImmediately,6 Months,"₹ 5,000 - 6,000 /month",3 May' 25,"Facebook Marketing, Instagram Marketing, Search Engine Optimization (SEO), Social Media Marketing, Certificate, Flexible work hours",N/A
Front End Development,RegisterKaro,Gurgaon,Starts immediatelyImmediately,1 Month,"₹ 10,000 - 15,000 /month",3 May' 25,"JavaScript, MERN, Next.js, React, REST API, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages, Job offer",N/A
